id;x;y;z
98; 1.558076e-02; -5.476783e-01;-2.792964e-01
99; 1.476583e-02; -5.326774e-01;-2.575731e-01
100; 1.024852e-02; -5.316430e-01;-2.575788e-01
101; 1.855481e-02; -5.333141e-01;-2.586504e-01
102; 2.286718e-02; -5.169775e-01;-2.303008e-01
103; 1.816121e-02; -5.167962e-01;-2.303746e-01
104; 1.258882e-02; -5.159271e-01;-2.317035e-01
105; 5.245650e-03; -5.306618e-01;-2.580647e-01
106; 4.471608e-03; -5.468844e-01;-2.778159e-01
107; 6.438813e-03; -5.149453e-01;-2.332948e-01
108; 2.308914e-16; -5.144262e-01;-2.341561e-01
109; 6.969602e-30; -5.301844e-01;-2.584276e-01
110; 2.910419e-11; -5.467239e-01;-2.779712e-01
111; 4.010781e-03; -5.619167e-01;-2.932192e-01
112; 7.199743e-30; -5.621750e-01;-2.933404e-01
113; 3.191632e-16; -5.746680e-01;-3.050893e-01
114; 3.757266e-03; -5.740623e-01;-3.049454e-01
115; 2.008604e-02; -4.862828e-01;-1.636042e-01
116; 2.300105e-02; -5.008997e-01;-1.955169e-01
117; 2.893661e-02; -4.840410e-01;-1.572215e-01
118; 1.594651e-02; -5.014107e-01;-1.992386e-01
119; 2.895312e-02; -4.995403e-01;-1.933752e-01
120; 3.635625e-02; -4.808714e-01;-1.527789e-01
121; 3.561916e-02; -4.652734e-01;-1.197105e-01
122; 2.477182e-02; -4.687319e-01;-1.282202e-01
123; 4.462021e-02; -4.608398e-01;-1.134169e-01
124; 1.269362e-02; -4.709886e-01;-1.358238e-01
125; 1.028151e-02; -4.876142e-01;-1.694306e-01
126; 6.549701e-30; -4.718165e-01;-1.393991e-01
127; 1.349446e-16; -4.880522e-01;-1.722048e-01
128; 8.157001e-03; -5.014312e-01;-2.028355e-01
129; 6.761942e-30; -5.013188e-01;-2.046028e-01
130; 4.881470e-02; -3.135077e-01;-3.140110e-02
131; 6.562885e-02; -3.304924e-01;-3.821614e-02
132; 4.820015e-02; -3.148390e-01;-3.650668e-02
133; 6.714936e-02; -3.305810e-01;-3.395264e-02
134; 7.908210e-02; -3.497450e-01;-3.706457e-02
135; 7.683806e-02; -3.480207e-01;-4.088950e-02
136; 2.543435e-02; -3.029407e-01;-3.534004e-02
137; 2.562189e-02; -3.008219e-01;-2.959261e-02
138; 5.298760e-30; -2.979302e-01;-3.489242e-02
139; 1.577809e-12; -2.955759e-01;-2.887413e-02
140; 2.525196e-02; -3.087409e-01;-2.892381e-02
141; 4.780867e-02; -3.204413e-01;-3.038716e-02
142; 5.340974e-30; -3.037982e-01;-2.835938e-02
143; 6.497487e-02; -3.357711e-01;-3.251949e-02
144; 7.581046e-02; -3.533708e-01;-3.515072e-02
145; 8.079680e-02; -3.879664e-01;-4.731309e-02
146; 7.303849e-02; -4.037308e-01;-6.675616e-02
147; 7.924682e-02; -3.838508e-01;-5.277532e-02
148; 7.395113e-02; -4.080479e-01;-6.023265e-02
149; 6.457305e-02; -4.289438e-01;-8.214857e-02
150; 6.422676e-02; -4.248163e-01;-8.928911e-02
151; 8.094536e-02; -3.655438e-01;-4.494783e-02
152; 8.306919e-02; -3.687028e-01;-4.055423e-02
153; 7.937537e-02; -3.718804e-01;-3.811076e-02
154; 7.701950e-02; -3.915130e-01;-4.440831e-02
155; 7.009274e-02; -4.124818e-01;-5.705205e-02
156; 6.075334e-02; -4.340943e-01;-7.881287e-02
157; 4.497495e-02; -4.724979e-01;-1.562681e-01
158; 3.628172e-02; -4.906695e-01;-2.030928e-01
159; 4.518031e-02; -4.688938e-01;-1.623326e-01
160; 3.602043e-02; -4.938144e-01;-1.980551e-01
161; 2.847259e-02; -5.139296e-01;-2.360491e-01
162; 2.869031e-02; -5.114591e-01;-2.401784e-01
163; 5.471801e-02; -4.467400e-01;-1.227730e-01
164; 5.470340e-02; -4.506507e-01;-1.158965e-01
165; 5.115955e-02; -4.556581e-01;-1.124617e-01
166; 4.186798e-02; -4.767571e-01;-1.527723e-01
167; 3.343524e-02; -4.969750e-01;-1.945186e-01
168; 2.641793e-02; -5.158955e-01;-2.324745e-01
169; 1.895852e-02; -5.480114e-01;-2.861341e-01
170; 1.594717e-02; -5.600622e-01;-3.026606e-01
171; 1.897814e-02; -5.472055e-01;-2.893314e-01
172; 1.591885e-02; -5.609143e-01;-3.004255e-01
173; 1.322676e-02; -5.708284e-01;-3.095210e-01
174; 1.332183e-02; -5.695563e-01;-3.108655e-01
175; 2.307416e-02; -5.306545e-01;-2.687143e-01
176; 2.296419e-02; -5.321726e-01;-2.650421e-01
177; 2.137267e-02; -5.331025e-01;-2.614138e-01
178; 1.778226e-02; -5.480222e-01;-2.824053e-01
179; 1.512948e-02; -5.600809e-01;-2.965182e-01
180; 1.277461e-02; -5.692395e-01;-3.053059e-01
181; 7.044409e-03; -5.820235e-01;-3.178171e-01
182; 3.605156e-03; -5.816249e-01;-3.136652e-01
183; 3.582758e-03; -5.842881e-01;-3.187749e-01
184; 7.025924e-03; -5.793747e-01;-3.127232e-01
185; 7.344763e-30; -5.823334e-01;-3.137714e-01
186; 4.241195e-16; -5.849059e-01;-3.187954e-01
187; 3.718375e-03; -5.817357e-01;-3.196710e-01
188; 7.258652e-03; -5.799226e-01;-3.188818e-01
189; 7.343226e-30; -5.821199e-01;-3.195699e-01
190; 1.044273e-02; -5.760196e-01;-3.161096e-01
191; 1.026385e-02; -5.777009e-01;-3.150253e-01
192; 1.007791e-02; -5.754585e-01;-3.103222e-01
193; 2.017729e-01; -3.263848e-02;-1.888655e-01
194; 2.245052e-01;  7.307421e-03;-2.087084e-01
195; 1.975686e-01; -3.893577e-03;-1.920497e-01
196; 2.294072e-01; -2.104918e-02;-2.067508e-01
197; 2.585806e-01; -8.897336e-03;-2.247032e-01
198; 2.528108e-01;  1.893661e-02;-2.257222e-01
199; 2.441912e-01;  4.766113e-02;-2.276045e-01
200; 2.170230e-01;  3.664823e-02;-2.117882e-01
201; 1.912942e-01;  2.574351e-02;-1.968201e-01
202; 1.744665e-01; -1.210946e-02;-1.765825e-01
203; 1.787764e-01; -4.150736e-02;-1.719912e-01
204; 1.686764e-01;  1.757703e-02;-1.834201e-01
205; 1.502448e-01;  1.437182e-02;-1.729256e-01
206; 1.596477e-01; -1.568736e-02;-1.636774e-01
207; 1.640123e-01; -4.605321e-02;-1.574734e-01
208; 1.804466e-01; -6.841850e-02;-1.703457e-01
209; 2.038112e-01; -5.852609e-02;-1.879993e-01
210; 1.652528e-01; -7.471994e-02;-1.548179e-01
211; 1.641189e-01; -9.878225e-02;-1.555541e-01
212; 1.800687e-01; -9.046568e-02;-1.715872e-01
213; 2.040214e-01; -7.937843e-02;-1.895648e-01
214; 2.320438e-01; -4.640362e-02;-2.065304e-01
215; 2.327268e-01; -6.660347e-02;-2.083196e-01
216; 2.629369e-01; -5.337226e-02;-2.269446e-01
217; 2.618424e-01; -3.371880e-02;-2.249913e-01
218; 4.339626e-01;  2.257638e-01;-4.017778e-01
219; 4.476683e-01;  2.331860e-01;-4.092153e-01
220; 4.455526e-01;  2.333640e-01;-4.113011e-01
221; 4.367293e-01;  2.255650e-01;-3.995546e-01
222; 4.408392e-01;  2.233305e-01;-3.983518e-01
223; 4.511217e-01;  2.318816e-01;-4.083529e-01
224; 4.573491e-01;  2.368487e-01;-4.149126e-01
225; 4.570051e-01;  2.390555e-01;-4.173665e-01
226; 4.556423e-01;  2.394828e-01;-4.196521e-01
227; 4.438773e-01;  2.314922e-01;-4.132426e-01
228; 4.325436e-01;  2.238218e-01;-4.044059e-01
229; 4.534430e-01;  2.373996e-01;-4.208289e-01
230; 4.513191e-01;  2.340996e-01;-4.208593e-01
231; 4.440913e-01;  2.287846e-01;-4.157495e-01
232; 4.330632e-01;  2.201685e-01;-4.073428e-01
233; 4.187698e-01;  2.147300e-01;-3.936523e-01
234; 4.201566e-01;  2.169475e-01;-3.907132e-01
235; 4.192318e-01;  2.098016e-01;-3.965311e-01
236; 4.026477e-01;  1.986129e-01;-3.837392e-01
237; 4.023509e-01;  2.048524e-01;-3.811003e-01
238; 4.037889e-01;  2.074260e-01;-3.780383e-01
239; 4.230918e-01;  2.163073e-01;-3.880887e-01
240; 4.066712e-01;  2.062150e-01;-3.749361e-01
241; 4.107077e-01;  2.011006e-01;-3.721768e-01
242; 4.272747e-01;  2.126627e-01;-3.861540e-01
243; 3.160508e-01; -4.353205e-02;-2.700029e-01
244; 2.909432e-01; -5.262949e-02;-2.483863e-01
245; 2.888718e-01; -5.717345e-02;-2.533700e-01
246; 3.179539e-01; -3.923557e-02;-2.653270e-01
247; 3.181413e-01; -2.817572e-02;-2.616060e-01
248; 2.914035e-01; -4.091629e-02;-2.445327e-01
249; 2.622048e-01; -6.570221e-02;-2.309211e-01
250; 2.600107e-01; -7.053185e-02;-2.362201e-01
251; 2.855369e-01; -5.444269e-02;-2.588585e-01
252; 3.127548e-01; -4.096404e-02;-2.750850e-01
253; 2.567189e-01; -6.768437e-02;-2.421408e-01
254; 2.526936e-01; -5.711577e-02;-2.479569e-01
255; 2.812862e-01; -4.433173e-02;-2.642268e-01
256; 3.083887e-01; -3.143039e-02;-2.800242e-01
257; 3.382818e-01; -2.610733e-02;-2.913991e-01
258; 3.414816e-01; -2.851547e-02;-2.866851e-01
259; 3.339038e-01; -1.715737e-02;-2.959342e-01
260; 3.577318e-01; -8.641791e-04;-3.123235e-01
261; 3.620242e-01; -9.211000e-03;-3.081680e-01
262; 3.650958e-01; -1.145118e-02;-3.037850e-01
263; 3.432079e-01; -2.447790e-02;-2.822838e-01
264; 3.666745e-01; -7.678596e-03;-2.996285e-01
265; 3.664885e-01;  2.012848e-03;-2.961524e-01
266; 3.431653e-01; -1.409072e-02;-2.786866e-01
267; 1.847785e-01; -4.236010e-02;-2.243908e-01
268; 2.085987e-01; -6.090617e-04;-2.440357e-01
269; 2.143125e-01; -2.827525e-02;-2.404068e-01
270; 1.803207e-01; -1.416221e-02;-2.287461e-01
271; 1.748303e-01;  1.552841e-02;-2.323963e-01
272; 2.012035e-01;  2.860376e-02;-2.465921e-01
273; 2.278784e-01;  4.125715e-02;-2.613216e-01
274; 2.363937e-01;  1.253720e-02;-2.598159e-01
275; 2.430329e-01; -1.484412e-02;-2.569458e-01
276; 2.188488e-01; -5.246823e-02;-2.359594e-01
277; 1.884545e-01; -6.719437e-02;-2.192721e-01
278; 2.482990e-01; -3.878206e-02;-2.529424e-01
279; 2.227083e-01; -7.103690e-02;-2.306295e-01
280; 1.920404e-01; -8.614662e-02;-2.133077e-01
281; 1.574540e-01; -8.236130e-02;-2.042515e-01
282; 1.546753e-01; -5.546022e-02;-2.103863e-01
283; 1.614002e-01; -1.024965e-01;-1.970546e-01
284; 1.288307e-01; -1.226254e-01;-1.830559e-01
285; 1.260392e-01; -9.531070e-02;-1.943374e-01
286; 1.241051e-01; -6.622397e-02;-2.012259e-01
287; 1.516799e-01; -2.555125e-02;-2.150046e-01
288; 1.223688e-01; -3.454677e-02;-2.062435e-01
289; 1.216105e-01;  1.367537e-03;-2.074778e-01
290; 1.488609e-01;  5.074992e-03;-2.191483e-01
291; 2.972122e-01;  6.949551e-03;-2.876603e-01
292; 2.764673e-01; -2.673507e-02;-2.688498e-01
293; 2.706954e-01; -3.705160e-03;-2.725197e-01
294; 3.032749e-01; -1.482996e-02;-2.842718e-01
295; 2.635856e-01;  2.270556e-02;-2.750292e-01
296; 2.899990e-01;  3.202048e-02;-2.900225e-01
297; 2.547532e-01;  5.044464e-02;-2.761706e-01
298; 2.814341e-01;  5.849516e-02;-2.911910e-01
299; 3.154585e-01;  4.260644e-02;-3.051426e-01
300; 3.224959e-01;  1.892794e-02;-3.028995e-01
301; 3.075273e-01;  6.773761e-02;-3.064345e-01
302; 3.326391e-01;  7.874665e-02;-3.220471e-01
303; 3.397869e-01;  5.506676e-02;-3.206679e-01
304; 3.464562e-01;  3.285288e-02;-3.185819e-01
305; 3.286431e-01; -1.569468e-03;-2.997988e-01
306; 3.524901e-01;  1.368318e-02;-3.157976e-01
307; 3.123052e-01;  1.205781e-02;-2.584732e-01
308; 2.899049e-01; -2.213934e-02;-2.424343e-01
309; 3.162905e-01; -1.045363e-02;-2.593891e-01
310; 2.861946e-01;  1.659167e-03;-2.417791e-01
311; 3.410583e-01;  2.549950e-03;-2.763851e-01
312; 3.369688e-01;  2.373609e-02;-2.752805e-01
313; 3.642659e-01;  1.752927e-02;-2.938105e-01
314; 3.602399e-01;  3.732442e-02;-2.925831e-01
315; 3.309785e-01;  4.775967e-02;-2.752743e-01
316; 3.060896e-01;  3.748576e-02;-2.586556e-01
317; 3.546432e-01;  5.985204e-02;-2.924505e-01
318; 3.477089e-01;  8.356588e-02;-2.933928e-01
319; 3.231690e-01;  7.291267e-02;-2.762678e-01
320; 2.975475e-01;  6.395735e-02;-2.597335e-01
321; 2.800196e-01;  2.843706e-02;-2.422548e-01
322; 2.711271e-01;  5.615217e-02;-2.435493e-01
323; 4.406753e-01;  2.086248e-01;-4.133791e-01
324; 4.476438e-01;  2.264552e-01;-4.195316e-01
325; 4.529594e-01;  2.231486e-01;-4.235135e-01
326; 4.361127e-01;  2.152334e-01;-4.104924e-01
327; 4.562920e-01;  2.353273e-01;-4.255064e-01
328; 4.625816e-01;  2.348538e-01;-4.305686e-01
329; 4.584631e-01;  2.175090e-01;-4.266199e-01
330; 4.457346e-01;  1.999511e-01;-4.155270e-01
331; 4.686100e-01;  2.317141e-01;-4.345397e-01
332; 4.734692e-01;  2.251959e-01;-4.367714e-01
333; 4.632158e-01;  2.090278e-01;-4.283139e-01
334; 4.504329e-01;  1.890323e-01;-4.165952e-01
335; 4.306277e-01;  1.807121e-01;-4.020860e-01
336; 4.258823e-01;  1.925225e-01;-4.008653e-01
337; 4.353577e-01;  1.671482e-01;-4.025194e-01
338; 4.182278e-01;  1.453141e-01;-3.869905e-01
339; 4.133457e-01;  1.614642e-01;-3.871220e-01
340; 4.087311e-01;  1.762060e-01;-3.866744e-01
341; 4.218431e-01;  2.023090e-01;-3.989746e-01
342; 4.049698e-01;  1.888265e-01;-3.855720e-01
343; 4.732045e-01;  2.458359e-01;-4.335886e-01
344; 4.807533e-01;  2.431131e-01;-4.346282e-01
345; 4.801521e-01;  2.447827e-01;-4.384640e-01
346; 4.738540e-01;  2.446070e-01;-4.300497e-01
347; 4.707780e-01;  2.385706e-01;-4.232003e-01
348; 4.773784e-01;  2.356185e-01;-4.270334e-01
349; 4.825681e-01;  2.293392e-01;-4.294528e-01
350; 4.859296e-01;  2.379563e-01;-4.373535e-01
351; 4.852506e-01;  2.399469e-01;-4.412405e-01
352; 4.759720e-01;  2.408942e-01;-4.384611e-01
353; 4.693885e-01;  2.425006e-01;-4.338442e-01
354; 4.809556e-01;  2.355978e-01;-4.410634e-01
355; 4.619128e-01;  2.412024e-01;-4.278315e-01
356; 4.649470e-01;  2.438547e-01;-4.271996e-01
357; 4.658358e-01;  2.430584e-01;-4.243036e-01
358; 4.634872e-01;  2.386270e-01;-4.187340e-01
359; 2.420575e-01;  1.590904e-01;-2.774128e-01
360; 2.788675e-01;  1.623238e-01;-2.914272e-01
361; 2.753816e-01;  1.646803e-01;-2.952623e-01
362; 2.458328e-01;  1.566310e-01;-2.736679e-01
363; 2.528207e-01;  1.479285e-01;-2.700489e-01
364; 2.849609e-01;  1.539012e-01;-2.875900e-01
365; 3.161765e-01;  1.609786e-01;-3.055133e-01
366; 3.109700e-01;  1.690499e-01;-3.095314e-01
367; 3.077643e-01;  1.712845e-01;-3.134389e-01
368; 2.746866e-01;  1.610183e-01;-2.988566e-01
369; 2.416630e-01;  1.553419e-01;-2.810858e-01
370; 3.067645e-01;  1.677425e-01;-3.169501e-01
371; 3.081759e-01;  1.584839e-01;-3.197792e-01
372; 2.769662e-01;  1.513853e-01;-3.019716e-01
373; 2.448177e-01;  1.454207e-01;-2.844889e-01
374; 2.101614e-01;  1.503491e-01;-2.644967e-01
375; 2.103489e-01;  1.541677e-01;-2.607388e-01
376; 2.139398e-01;  1.401953e-01;-2.681069e-01
377; 1.865508e-01;  1.339398e-01;-2.541001e-01
378; 1.826597e-01;  1.443721e-01;-2.504763e-01
379; 1.828234e-01;  1.483023e-01;-2.466277e-01
380; 2.143390e-01;  1.516262e-01;-2.570104e-01
381; 1.868691e-01;  1.457454e-01;-2.427310e-01
382; 1.946239e-01;  1.366560e-01;-2.389914e-01
383; 2.219681e-01;  1.426994e-01;-2.534887e-01
384; 4.523085e-01;  2.129058e-01;-4.001143e-01
385; 4.568098e-01;  2.303739e-01;-4.100814e-01
386; 4.462877e-01;  2.191651e-01;-3.987850e-01
387; 4.634178e-01;  2.274839e-01;-4.130129e-01
388; 4.324048e-01;  2.058669e-01;-3.852839e-01
389; 4.379851e-01;  1.963956e-01;-3.851311e-01
390; 4.156079e-01;  1.919640e-01;-3.701435e-01
391; 4.209734e-01;  1.796672e-01;-3.687217e-01
392; 4.435185e-01;  1.847246e-01;-3.853479e-01
393; 4.581353e-01;  2.043895e-01;-4.015999e-01
394; 4.264059e-01;  1.650723e-01;-3.677972e-01
395; 4.315073e-01;  1.490415e-01;-3.672555e-01
396; 4.485080e-01;  1.713295e-01;-3.855869e-01
397; 4.631540e-01;  1.936953e-01;-4.026660e-01
398; 4.696305e-01;  2.220324e-01;-4.157595e-01
399; 4.747418e-01;  2.138087e-01;-4.175891e-01
400; 1.472366e-01;  1.278328e-01;-2.294161e-01
401; 1.659066e-01;  1.374249e-01;-2.321061e-01
402; 1.620485e-01;  1.398841e-01;-2.364670e-01
403; 1.508345e-01;  1.257216e-01;-2.246930e-01
404; 1.568894e-01;  1.169984e-01;-2.195041e-01
405; 1.730089e-01;  1.282404e-01;-2.276391e-01
406; 1.616360e-01;  1.357434e-01;-2.404111e-01
407; 1.466284e-01;  1.236068e-01;-2.334590e-01
408; 1.648692e-01;  1.248850e-01;-2.437432e-01
409; 1.489341e-01;  1.127798e-01;-2.363509e-01
410; 1.371751e-01;  1.071059e-01;-2.287777e-01
411; 1.376004e-01;  1.110676e-01;-2.246347e-01
412; 1.387841e-01;  9.737322e-02;-2.312382e-01
413; 1.342696e-01;  8.566634e-02;-2.270078e-01
414; 1.318932e-01;  8.864915e-02;-2.243070e-01
415; 1.320275e-01;  9.212433e-02;-2.196367e-01
416; 1.410363e-01;  1.096927e-01;-2.200490e-01
417; 1.355756e-01;  9.190993e-02;-2.152765e-01
418; 1.405279e-01;  9.100743e-02;-2.119250e-01
419; 1.460317e-01;  1.024761e-01;-2.146587e-01
420; 2.001000e-01; -9.895398e-02;-1.995523e-01
421; 1.782345e-01; -1.052717e-01;-1.756569e-01
422; 1.743692e-01; -1.125733e-01;-1.817969e-01
423; 2.027411e-01; -9.301753e-02;-1.936757e-01
424; 1.613600e-01; -1.153349e-01;-1.595255e-01
425; 1.557997e-01; -1.246292e-01;-1.659372e-01
426; 1.678982e-01; -1.121077e-01;-1.892496e-01
427; 1.962277e-01; -9.669842e-02;-2.064154e-01
428; 1.462615e-01; -1.269164e-01;-1.739947e-01
429; 2.263919e-01; -8.183011e-02;-2.243527e-01
430; 2.295336e-01; -8.469941e-02;-2.179871e-01
431; 2.317677e-01; -7.949629e-02;-2.123907e-01
432; 1.738837e-01;  8.009174e-02;-2.083757e-01
433; 1.831543e-01;  1.122055e-01;-2.233763e-01
434; 1.648687e-01;  1.013886e-01;-2.140635e-01
435; 1.948605e-01;  9.066295e-02;-2.192957e-01
436; 2.190608e-01;  1.000516e-01;-2.325893e-01
437; 2.059149e-01;  1.209885e-01;-2.356142e-01
438; 1.511357e-01;  8.891281e-02;-2.081020e-01
439; 1.565723e-01;  6.965479e-02;-2.004576e-01
440; 1.410025e-01;  7.876831e-02;-2.058031e-01
441; 1.431759e-01;  6.145483e-02;-1.966367e-01
442; 1.625655e-01;  4.535399e-02;-1.918044e-01
443; 1.830457e-01;  5.430767e-02;-2.024450e-01
444; 1.464496e-01;  3.962587e-02;-1.861607e-01
445; 2.066458e-01;  6.495529e-02;-2.153751e-01
446; 2.323804e-01;  7.515434e-02;-2.299065e-01
447; 4.660527e-01;  1.338356e-01;-4.051468e-01
448; 4.563408e-01;  1.104467e-01;-3.884225e-01
449; 4.543752e-01;  1.071885e-01;-3.909351e-01
450; 4.680575e-01;  1.368196e-01;-4.030168e-01
451; 4.692972e-01;  1.434974e-01;-4.016308e-01
452; 4.573062e-01;  1.176745e-01;-3.865497e-01
453; 4.426629e-01;  9.073081e-02;-3.694572e-01
454; 4.421616e-01;  8.338181e-02;-3.719412e-01
455; 4.404443e-01;  8.026572e-02;-3.749748e-01
456; 4.517503e-01;  1.081538e-01;-3.937480e-01
457; 4.633734e-01;  1.341566e-01;-4.073845e-01
458; 4.378065e-01;  8.156890e-02;-3.781660e-01
459; 4.345440e-01;  8.747771e-02;-3.811226e-01
460; 4.488068e-01;  1.135967e-01;-3.965220e-01
461; 4.606645e-01;  1.387620e-01;-4.097911e-01
462; 4.723970e-01;  1.578211e-01;-4.184264e-01
463; 4.752114e-01;  1.587081e-01;-4.171032e-01
464; 4.697506e-01;  1.607584e-01;-4.200417e-01
465; 4.752319e-01;  1.758411e-01;-4.261157e-01
466; 4.788191e-01;  1.788802e-01;-4.271741e-01
467; 4.819318e-01;  1.812289e-01;-4.267437e-01
468; 4.767461e-01;  1.604214e-01;-4.149416e-01
469; 4.829450e-01;  1.813709e-01;-4.242500e-01
470; 4.821702e-01;  1.799467e-01;-4.210375e-01
471; 4.777679e-01;  1.654358e-01;-4.136017e-01
472; 4.689257e-01;  1.673199e-01;-4.022455e-01
473; 4.780457e-01;  2.026020e-01;-4.177698e-01
474; 4.667504e-01;  1.809023e-01;-4.027368e-01
475; 4.794953e-01;  1.896588e-01;-4.166913e-01
476; 4.864458e-01;  2.065628e-01;-4.279859e-01
477; 4.856270e-01;  2.193013e-01;-4.296781e-01
478; 4.524565e-01;  1.566859e-01;-3.855005e-01
479; 4.552891e-01;  1.420350e-01;-3.854147e-01
480; 4.358793e-01;  1.324368e-01;-3.669824e-01
481; 4.393263e-01;  1.164134e-01;-3.671461e-01
